trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
148,False,"{'a': 0.8624311149420455, 'e': 0.22763768838381274}",30,8,-35.06757130367964,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 1}",1
149,False,"{'a': 0.8615691148989583, 'e': 0.22537265553943872}",20,2,-65.56330417915534,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
150,False,"{'a': 0.8607079764250578, 'e': 0.22313016014842982}",20,0,30.792996958601673,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
151,False,"{'a': 0.8598476986592055, 'e': 0.2209099779593782}",20,9,8.855155822703436,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.8589882807411234, 'e': 0.21871188695221475}",20,0,14.106803268944875,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
153,False,"{'a': 0.8581297218113938, 'e': 0.21653566731600707}",20,11,10.29227055003663,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.8572720210114575, 'e': 0.21438110142697794}",20,0,34.09214476988609,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.8564151774836135, 'e': 0.21224797382674304}",30,18,21.159813587581883,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.8555591903710185, 'e': 0.21013607120076472}",25,10,-12.31868944407012,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
157,False,"{'a': 0.8547040588176851, 'e': 0.20804518235702046}",35,26,-24.74697038904836,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
158,False,"{'a': 0.8538497819684817, 'e': 0.20597509820488344}",30,17,-85.81458918295179,"{0: 8, 1: 0, 2: 2, 3: 2, 4: 1}",1
159,False,"{'a': 0.8529963589691315, 'e': 0.20392561173421342}",30,18,7.647359253903698,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.8521437889662113, 'e': 0.20189651799465538}",20,15,0.47842246401088784,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.8512920711071511, 'e': 0.1998876140751445}",25,4,-22.139866333781406,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 1}",1
162,False,"{'a': 0.850441204540233, 'e': 0.19789869908361465}",20,12,1.3558891705382323,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.8495911884145902, 'e': 0.19592957412690934}",25,7,10.452484338939371,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
164,False,"{'a': 0.8487420218802068, 'e': 0.19398004229089189}",20,16,5.743558765759837,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.8478937040879159, 'e': 0.19204990862075408}",20,10,1.1710198269605274,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.8470462341893996, 'e': 0.1901389801015205}",20,12,15.45904708391066,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.8461996113371882, 'e': 0.1882470656387468}",20,14,8.991645382858845,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.8453538346846587, 'e': 0.18637397603940997}",35,20,14.677132377186247,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.8445089033860343, 'e': 0.18451952399298926}",20,12,13.327514871884924,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.8436648165963837, 'e': 0.18268352405273466}",30,13,-64.8863703373945,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
171,False,"{'a': 0.8428215734716199, 'e': 0.1808657926171221}",30,8,7.143894698830434,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
